 5; 80; 20; .0398; .0505
 1; 100; 0; .0289; 0
 1; 100; 0; .0721; 0
 3; 100; 0; .0565; 0
 2; 50; 50; .0505; .018
 2; 50; 50; .0469; .0108
 2; 0; 50; 0; .0867











 3; 33.33; 66.67; .018; .0434
 3; 66.67; 33.33; .0361; .0253
 10; 70; 30; .0449; .0446
 14; 64.29; 35.71; .0466; .0456
 13; 46.15; 53.85; .0217; .0263
 10; 30; 70; .0181; .0413
 6; 83.33; 16.67; .0383; .036
 3; 100; 0; .065; 0
 3; 100; 0; .0373; 0

 1; 0; 100; 0; .0434
 1; 0; 100; 0; .0289
 5; 20; 80; .0651; .0534
 8; 62.5; 37.5; .0469; .0325
 7; 28.57; 71.43; .0937; .0434
 2; 0; 100; 0; .0308
 6; 33.33; 66.67; .0703; .0316
 2; 50; 50; .0541; .0145
 1; 100; 0; .036; 0
 1; 100; 0; .0829; 0

 3; 66.67; 33.33; .0217; .018
 3; 66.67; 33.33; .0598; .0433
 9; 77.78; 22.22; .0548; .0853
 17; 58.82; 35.29; .0372; .0435
 29; 68.97; 31.03; .0351; .0498
 27; 70.37; 29.63; .0401; .0308
 30; 60; 36.67; .0375; .0296
 25; 68; 32; .0504; .0474
 15; 60; 40; .0504; .0169
 10; 50; 40; .0798; .0353
 5; 80; 20; .0398; .0506
 4; 75; 25; .0218; .0072
 8; 50; 37.5; .0534; .0445
 10; 50; 50; .0231; .0296
 10; 40; 60; .0371; .0355
 10; 50; 50; .0275; .0498
 7; 85.71; 14.29; .0451; .0545
 4; 75; 25; .0229; .0361
 5; 60; 40; .0821; .0235
 1; 0; 100; 0; .0288


 1; 100; 0; .0109; 0
 5; 60; 40; .0566; .0433
 7; 28.57; 71.43; .085; .0693
 5; 20; 80; .0578; .0451
 1; 100; 0; .0506; 0
 2; 50; 0; .1266; 0







 1; 0; 100; 0; .054


 1; 100; 0; .0072; 0
 2; 0; 50; 0; .0072
 3; 66.67; 33.33; .0327; .0252
 4; 75; 25; .0663; .0252
 3; 66.67; 33.33; .0452; .0181
 5; 40; 60; .0271; .0302
 2; 50; 50; .0432; .0432
 2; 100; 0; .0163; 0

 2; 0; 100; 0; .0163
 1; 0; 100; 0; .0577
 1; 0; 100; 0; .036











 1; 0; 100; 0; .1159

 1; 100; 0; .0109; 0
 1; 100; 0; .029; 0
 3; 66.67; 33.33; .0253; .0832
 5; 80; 20; .0226; .0615
 4; 25; 75; .1119; .0302
 5; 40; 60; .0542; .0686
 4; 25; 75; .0797; .0553
 3; 33.33; 66.67; .0145; .0904
 2; 0; 100; 0; .0272
 2; 0; 50; 0; .1191
 4; 0; 100; 0; .0316
 2; 0; 100; 0; .0505

 1; 100; 0; .029; 0






 1; 100; 0; .1265; 0
 1; 100; 0; .1228; 0





 1; 100; 0; .036; 0
 1; 100; 0; .018; 0
 2; 0; 100; 0; .0761
 4; 25; 75; .0181; .0447
 4; 50; 50; .0308; .0544
 3; 66.67; 33.33; .0435; .0181
 2; 50; 50; .0255; .0543
 1; 0; 0; 0; 0
 2; 50; 50; .0507; .0543
 2; 100; 0; .0416; 0
 4; 50; 50; .0634; .0307
 1; 100; 0; .0364; 0
 3; 33.33; 66.67; .0364; .0163
 1; 0; 100; 0; .0254







 3; 33.33; 66.67; .0433; .0217
 2; 50; 50; .0361; .0506



 4; 50; 50; .0236; .0198
 6; 16.67; 83.33; .0253; .0397
 2; 50; 50; .1081; .0793
 6; 50; 50; .0361; .0432
 1; 100; 0; .0361; 0


 1; 100; 0; .0145; 0
 1; 100; 0; .0217; 0
 2; 100; 0; .0217; 0
 1; 0; 100; 0; .0253









 2; 100; 0; .0127; 0
 2; 100; 0; .0254; 0


 1; 0; 100; 0; .0722
 1; 0; 100; 0; .0397






 1; 0; 100; 0; .0072
 1; 100; 0; .0469; 0

 2; 0; 100; 0; .0416
 7; 0; 71.43; 0; .0449
 6; 33.33; 66.67; .0487; .0442
 10; 60; 40; .0252; .0208
 8; 37.5; 62.5; .0517; .0361

